Date,Open,High,Low,Close,Volume,Adj Close
3/3/2008,18.02,18.44,17.04,17.1,15412900,16.44
2/1/2008,18.97,19.35,17.75,17.98,13260300,17.29
1/2/2008,20.14,21.01,17.66,18.91,24534800,18.19
12/3/2007,23.23,23.43,19.89,20.47,12201200,19.69
11/1/2007,26.4,26.68,21.77,23.39,20232800,22.49
10/1/2007,26.27,26.92,25.63,26.68,9327000,25.66
9/4/2007,27.67,28.19,25.95,26.2,11225900,25.2
8/1/2007,26.51,28.6,26.03,27.55,12381800,26.49
7/2/2007,26.4,28.5,25.63,26.68,16492900,25.66
6/1/2007,28.8,29.15,25.22,26.24,18001300,25.23
5/1/2007,31.16,31.9,28.03,28.81,15132000,27.71
4/2/2007,31.54,32.3,30.3,31.02,9228800,29.83
3/1/2007,30.2,32.45,28.86,31.36,12966000,30.16
2/1/2007,35.13,35.42,30.24,30.9,10784200,29.72
1/3/2007,35.6,36.61,33.49,34.94,8635100,33.6
12/1/2006,35.25,37.14,34.9,35.42,5455800,34.06
11/1/2006,37.99,40.01,35.16,35.29,8192600,33.94
10/2/2006,34.15,39.5,33.61,37.75,8627800,36.3
9/1/2006,31.61,35.04,30.53,34.05,8194200,32.74
8/1/2006,33.99,33.99,28.72,31.01,11989600,29.82
7/3/2006,37.96,38.33,32.93,34.23,7994000,32.92
6/1/2006,35.49,38.02,34.91,37.76,6046900,36.31
5/1/2006,37.63,39.88,34.6,35.65,7918100,34.28
4/3/2006,37.98,39.5,36.77,37.27,5459000,35.84
3/1/2006,36.33,38.11,34.73,37.63,5098500,36.19
2/1/2006,31.28,36.87,31.14,36.32,6791500,34.93
1/3/2006,30.57,32.32,29.9,31.7,4410800,30.48
12/1/2005,30.34,32.46,29.94,30.01,4481200,28.86
11/1/2005,28.3,32,28.07,30.45,5806500,29.28
10/3/2005,50.31,55.25,26.87,28.28,7031700,27.2
9/1/2005,49.8,50.16,46.01,50.1,6704000,24.09
8/1/2005,52.55,52.77,48,49.03,5057900,23.58
7/1/2005,51.73,54.39,49.28,52.55,7140300,25.27
6/1/2005,54.92,56.9,51.52,51.66,5501900,24.84
5/2/2005,49.9,55.72,49.2,54.79,6564900,26.34
4/1/2005,52.23,52.38,44.58,49.52,10609100,23.81
3/1/2005,51.89,55.59,50.72,51.66,6383600,24.84
2/1/2005,54.16,54.98,49.14,51.81,8706700,24.91
1/3/2005,63.29,63.34,52.1,54,12119800,25.96
12/1/2004,56.33,64.26,56.29,62.36,6022800,29.98
11/1/2004,52.92,57,52.6,56.26,6063200,27.05
10/1/2004,45.97,53.25,45.29,52.88,7314000,25.43
9/1/2004,42.99,46.29,42.79,45.46,5226800,21.86
8/2/2004,46.87,47.13,42.05,43.24,7669800,20.79
7/1/2004,44.65,48.4,44.02,46.99,7604900,22.59
6/1/2004,40.7,44.4,40.62,43.49,6077200,20.91
5/3/2004,38.82,41.2,37.03,40.6,6205400,19.52
4/1/2004,38.14,39.91,36.74,38.92,5974400,18.71
3/1/2004,37.89,38.74,36.51,37.87,6473300,18.21
2/2/2004,36.82,39.68,36,37.4,7621800,17.98
1/2/2004,33.45,36.81,32.9,36.61,7217800,17.6
12/1/2003,32.08,33.43,31.42,33.16,4838700,15.94
11/3/2003,31.36,33.05,30,32.17,5819000,15.47
10/1/2003,29.04,32,28.8,31.6,5073600,15.19
9/2/2003,28.09,30.95,28.06,28.8,7880600,13.85
8/1/2003,27.4,28.53,26,28.39,5088200,13.65
7/1/2003,24.95,27.77,24.78,27.33,8161600,13.14
6/2/2003,24.56,25.46,23.75,24.55,7069500,11.8
5/1/2003,23.42,24.83,22.8,24.67,9829400,11.86
4/1/2003,25.81,26.87,23.35,23.51,10588300,11.3
3/3/2003,23.62,26.52,22.2,25.76,9391900,12.39
2/3/2003,22.67,23.52,21.6,23.45,8353500,11.28
1/2/2003,20.47,23.3,19.62,22.72,8963600,10.92
12/2/2002,22,22.09,20.18,20.38,6944100,9.8
11/1/2002,24.05,24.16,20.85,21.74,7750700,10.45
10/1/2002,20.66,24.1,20.66,23.84,9692200,11.46
9/3/2002,19.99,21.57,19.6,20.66,7485100,9.93
8/1/2002,19.52,21.82,18.47,20.1,7705600,9.66
7/1/2002,24.42,24.96,18.44,19.63,11228600,9.44
6/3/2002,24.3,25.3,22.44,24.85,9265500,11.95
5/1/2002,22.85,24.5,21.93,24.28,8507600,11.67
4/1/2002,23.07,25.7,22.64,22.82,7910900,10.97
3/1/2002,23.56,24.53,22.35,23.13,6709500,11.12
2/4/2002,22.82,23.6,20.82,23.01,6284700,11.06
1/2/2002,19.11,23.88,19,23.77,10734400,11.43
12/3/2001,17.63,19.97,17.6,19.05,7328100,9.16
11/1/2001,17.15,19.55,16.68,17.72,9549500,8.52
10/1/2001,14.8,17.95,14.16,17.12,8716500,8.23
9/4/2001,16.86,17.32,13.46,14.94,11820700,7.18
8/1/2001,18.13,19.09,16.8,16.87,8252400,8.11
7/2/2001,22.49,22.9,17.9,18.04,9428900,8.67
6/1/2001,20,23.31,18.93,23,7377400,11.06
5/1/2001,19.35,21.53,18,19.52,9061500,9.39
4/2/2001,42.56,43.56,18.5,19.35,15611700,9.3
3/1/2001,47.5,49.06,38.56,42.44,11230100,10.2
2/1/2001,49.38,51.31,46.25,47.63,9134000,11.45
1/2/2001,43.92,50.06,40.38,49.94,10369300,12.01
12/1/2000,46.25,47,41.38,44.25,8998700,10.64
11/1/2000,44.31,50.81,43,45.56,12164900,10.95
10/2/2000,40.13,44.88,36.75,44.69,8128200,10.74
9/1/2000,38.25,41.75,35.88,40.06,5687300,9.63
8/1/2000,37.47,44.13,34.56,36.63,8862100,8.81
7/3/2000,38,42.75,35.94,37.5,8731600,9.02
6/1/2000,34.13,39.5,32,38.19,15440000,9.18
5/1/2000,31,35,28,34,9590400,8.17
4/3/2000,40.19,43.5,30,30.23,16593300,7.27
3/1/2000,35.13,45.25,32.63,44.81,9506800,10.77
2/1/2000,31.75,36.19,30.37,35.13,10355800,8.45
1/3/2000,23.87,32,23.12,32,16289800,7.69
12/1/1999,26.56,29.12,23.75,24.25,8158600,5.83
11/1/1999,26.87,31.06,25.87,26.56,10167100,6.39
10/1/1999,24.75,27.62,21.37,27.19,11404400,6.54
9/1/1999,22.94,26.56,20.44,24.78,10189500,5.96
8/2/1999,23.5,24.25,19.87,22.87,11390400,5.5
7/1/1999,24.27,28.37,23.19,23.25,30627800,5.59
6/1/1999,36.88,38.5,33.44,37.56,7282000,9.03
5/3/1999,37.5,41,33.56,36.88,7014100,8.87
4/1/1999,28.25,39,28.25,36.94,7257800,8.88
3/1/1999,53.38,63.75,27.87,28.06,9091400,6.75
2/1/1999,52.13,54.19,46.38,52.88,8972600,6.36
1/4/1999,55.63,56,46.88,52.06,13490900,6.26
12/1/1998,47.06,56.25,47.06,56.13,8372300,6.75
11/2/1998,43.63,49.25,41,46.13,11818900,5.55
10/1/1998,35.5,44.25,31.5,43.38,15379800,5.21
9/1/1998,31.87,42.25,28.75,36.19,17103300,4.35
8/3/1998,42.19,43.25,30.87,31.56,16238100,3.79
7/1/1998,53.63,59.94,41.63,41.88,15608400,5.03
6/1/1998,47.63,54.75,46.56,53.44,8523300,6.42
5/1/1998,48.25,49.88,44.5,48,6197000,5.77
4/1/1998,45.38,49,42.5,48.13,8612500,5.79
3/2/1998,39.56,46.44,38.13,45.31,7316000,5.45
2/2/1998,37,40.13,36,39.56,8680200,4.76
1/2/1998,38.38,38.63,33.13,36.56,8794500,4.39
12/1/1997,35.63,40.5,35.5,38.38,6819000,4.61
11/3/1997,33.13,36,31.25,34.88,7216900,4.19
10/1/1997,41.63,41.88,32.13,33,11914000,3.97
9/2/1997,41.13,44.75,39.75,41.81,7445100,5.03
8/1/1997,40.75,43.25,37,41,9083200,4.93
7/1/1997,39,41.63,34.13,40.94,11372500,4.92
6/2/1997,31.62,39.5,29.5,38.94,13469700,4.68
5/1/1997,29.87,34,27.87,31.5,11015200,3.79
4/1/1997,29.62,31.25,26.12,29.87,10118200,3.59
3/3/1997,33.63,33.88,29.37,29.62,9281500,3.56
2/3/1997,34.25,37.25,32.75,33.63,6762200,4.04
1/2/1997,28.62,35.88,27.37,34.25,9456500,4.12
12/2/1996,34.88,36.75,28.5,28.62,8358700,3.44
11/1/1996,32.63,36.63,31.75,34.63,8037700,4.16
10/1/1996,33,40.25,32.5,32.5,12300300,3.91
9/3/1996,32.25,35.88,31.75,33,8840500,3.97
8/1/1996,26,34.13,26,32.75,7593800,3.94
7/1/1996,28.12,29.87,23,26,8381400,3.13
6/3/1996,27.12,28.5,25.25,28.25,6496900,3.4
5/1/1996,27.37,29.62,25,27.12,6717900,3.26
4/1/1996,24.62,29.37,24.12,27.12,13415200,3.26
3/1/1996,18.12,23.62,17.87,23.31,12067500,2.8
2/1/1996,16.87,18,16,17.62,10430600,2.12
1/2/1996,21,21,14.5,16.75,16203900,2.01
12/1/1995,42.13,42.13,19.12,21,7864200,2.52
11/1/1995,39.38,45.13,38.88,42.25,11740800,2.54
10/2/1995,38.38,39.75,33.88,39.25,12505000,2.36
9/1/1995,40,44.25,36,37.88,20572800,2.28
8/1/1995,37.38,40.63,36.88,40,6919700,2.4
7/3/1995,35.75,42.25,34.88,37.38,15033400,2.25
6/1/1995,29.06,37.25,27.75,35.63,15453900,2.14
5/1/1995,23.62,31.5,23.5,29.06,13664800,1.75
4/3/1995,24,26.12,23.25,23.5,10367600,1.41
3/1/1995,24,25.69,22.25,24,10372800,1.44
2/1/1995,23.87,26.5,22.5,23.87,6907200,1.43
1/3/1995,27.25,27.37,23.5,24,6622700,1.44
12/1/1994,26.75,28,24.37,27.5,5566000,1.65
11/1/1994,26.75,29.25,25.75,26.81,8206800,1.61
10/3/1994,23,28,21.5,27.12,6454000,1.63
9/1/1994,28,29.75,22.25,23.06,11091500,1.39
8/1/1994,29.25,29.75,26.5,28.25,5178000,1.7
7/1/1994,25.25,30.75,23.5,29,8931200,1.74
6/1/1994,28.5,32.5,24.75,25.25,7657300,1.52
5/2/1994,29.5,30.25,24.5,28.5,6466400,1.71
4/4/1994,23.5,30.75,22.75,29.75,10566900,1.79
3/1/1994,22.75,25.5,21,24.37,7264300,1.46
2/1/1994,24,25,21.5,23.25,4507500,1.4
1/3/1994,22,24.5,19,24,9316100,1.44
12/1/1993,22.75,24.75,20.75,22.25,4066100,1.34
11/1/1993,26.25,27.25,20.5,22.25,4887300,1.34
10/1/1993,27.5,28,25.25,26.75,4568100,1.61
9/1/1993,48.25,54,26.75,27.37,7761800,1.65
8/2/1993,48.25,50,43.75,48.5,6962600,1.46
7/1/1993,48.75,54,47.5,47.5,7049900,1.43
6/1/1993,48,49.75,44.5,49,4878800,1.47
5/3/1993,39.5,48.75,39,48,8201600,1.44
4/1/1993,38,40.25,34.25,38.75,4457200,1.16
3/26/1993,39.75,39.75,36.75,38,4098400,1.14
